onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
3734.6038	8.0	trials	True	False	False	False	False	False	False	True
3746.103	8.0	trials	False	False	False	True	False	False	False	True
3759.8042	8.0	trials	False	True	False	False	False	False	False	True
3770.7448	8.0	trials	True	False	False	False	False	False	False	True
3781.7863	8.0	trials	False	True	False	False	False	False	False	True
3792.7146	8.0	trials	False	False	False	True	False	False	False	True
3805.7362	8.0	trials	False	True	False	False	False	False	False	True
3816.6545	8.0	trials	True	False	False	False	False	False	False	True
3827.7303	8.0	trials	False	True	False	False	False	False	False	True
3838.6644	8.0	trials	True	False	False	False	False	False	False	True
3849.8525	8.0	trials	False	True	False	False	False	False	False	True
3860.7858	8.0	trials	False	True	False	False	False	False	False	True
3871.7448	8.0	trials	False	True	False	False	False	False	False	True
3882.6604	8.0	trials	True	False	False	False	False	False	False	True
3893.7522	8.0	trials	False	True	False	False	False	False	False	True
3904.8256	8.0	trials	True	False	False	False	False	False	False	True
3916.034	8.0	trials	True	False	False	False	False	False	False	True
3927.1527	8.0	trials	True	False	False	False	False	False	False	True
3938.2244	8.0	trials	False	True	False	False	False	False	False	True
3949.3559	8.0	trials	False	True	False	False	False	False	False	True
3960.4769	8.0	trials	True	False	False	False	False	False	False	True
3971.5647	8.0	trials	False	True	False	False	False	False	False	True
3982.5169	8.0	trials	False	True	False	False	False	False	False	True
3993.6454	8.0	trials	False	True	False	False	False	False	False	True
4004.7379	8.0	trials	True	False	False	False	False	False	False	True
4015.9584	8.0	trials	True	False	False	False	False	False	False	True
4027.0339	8.0	trials	False	True	False	False	False	False	False	True
4038.1227	8.0	trials	True	False	False	False	False	False	False	True
4049.2347	8.0	trials	True	False	False	False	False	False	False	True
4060.3441	8.0	trials	False	True	False	False	False	False	False	True
4071.469	8.0	trials	False	True	False	False	False	False	False	True
4082.4631	8.0	trials	False	True	False	False	False	False	False	True
4093.5601	8.000000000000455	trials	True	False	False	False	False	False	False	True
4104.6797	8.0	trials	True	False	False	False	False	False	False	True
4115.7963	8.0	trials	False	True	False	False	False	False	False	True
4126.8906	8.0	trials	True	False	False	False	False	False	False	True
4138.0448	8.0	trials	True	False	False	False	False	False	False	True
4149.1639	8.0	trials	False	True	False	False	False	False	False	True
4160.2872	8.0	trials	True	False	False	False	False	False	False	True
4171.4236	8.0	trials	False	True	False	False	False	False	False	True
4182.3899	8.0	trials	True	False	False	False	False	False	False	True
4193.5676	8.0	trials	False	True	False	False	False	False	False	True
4204.5522	8.0	trials	False	True	False	False	False	False	False	True
4215.7076	8.0	trials	False	True	False	False	False	False	False	True
4226.8542	8.0	trials	True	False	False	False	False	False	False	True
4237.9647	8.0	trials	False	True	False	False	False	False	False	True
4249.0038	8.0	trials	True	False	False	False	False	False	False	True
4260.1587	8.0	trials	True	False	False	False	False	False	False	True
4271.3204	8.0	trials	False	False	True	False	False	False	False	True
4284.4475	8.0	trials	False	True	False	False	False	False	False	True
4295.5599	8.0	trials	True	False	False	False	False	False	False	True
4306.6766	8.0	trials	False	False	True	False	False	False	False	True
4319.6818	8.0	trials	True	False	False	False	False	False	False	True
4330.9551	8.0	trials	False	True	False	False	False	False	False	True
4342.0704	8.0	trials	True	False	False	False	False	False	False	True
4353.2115	8.0	trials	False	True	False	False	False	False	False	True
4364.3013	8.0	trials	True	False	False	False	False	False	False	True
4375.4459	8.0	trials	False	True	False	False	False	False	False	True
4386.5606	8.0	trials	True	False	False	False	False	False	False	True
4397.7953	8.0	trials	True	False	False	False	False	False	False	True
4408.9497	8.0	trials	False	True	False	False	False	False	False	True
4420.1143	8.0	trials	False	True	False	False	False	False	False	True
4431.0895	8.0	trials	True	False	False	False	False	False	False	True
4442.9258	8.0	trials	True	False	False	False	False	False	False	True
4454.0742	8.0	trials	True	False	False	False	False	False	False	True
4465.0872	8.0	trials	False	True	False	False	False	False	False	True
4476.2406	8.0	trials	True	False	False	False	False	False	False	True
4487.3707	8.0	trials	False	False	True	False	False	False	False	True
4500.5265	8.0	trials	False	True	False	False	False	False	False	True
4511.556	8.0	trials	False	True	False	False	False	False	True	True
4526.4469	8.0	trials	False	False	True	False	False	False	False	True
4539.5132	8.0	trials	True	False	False	False	False	False	False	True
4550.7735	8.0	trials	True	False	False	False	False	False	False	True
4561.9045	8.0	trials	False	True	False	False	False	False	False	True
4573.001	8.0	trials	True	False	False	False	False	False	False	True
4584.1811	8.0	trials	False	True	False	False	False	False	False	True
4595.2065	8.0	trials	True	False	False	False	False	False	False	True
4606.3271	8.0	trials	True	False	False	False	False	False	False	True
4617.4556	8.0	trials	False	True	False	False	False	False	False	True
4628.6394	8.0	trials	True	False	False	False	False	False	False	True
4639.8078	8.0	trials	False	False	True	False	False	False	False	True
4652.9069	8.0	trials	True	False	False	False	False	False	False	True
4664.0924	8.0	trials	False	True	False	False	False	False	False	True
4675.1994	8.0	trials	True	False	False	False	False	False	False	True
4686.4277	8.0	trials	True	False	False	False	False	False	False	True
4697.5468	8.0	trials	True	False	False	False	False	False	False	True
4708.8375	8.0	trials	False	True	False	False	False	False	False	True
4719.9697	8.0	trials	True	False	False	False	False	False	False	True
4731.172	8.0	trials	False	True	False	False	False	False	False	True
4742.2218	8.0	trials	True	False	False	False	False	False	False	True
4753.32	8.0	trials	True	False	False	False	False	False	False	True
4764.4509	8.0	trials	False	False	True	False	False	False	False	True
4777.4773	8.0	trials	False	True	False	False	False	False	False	True
4788.6456	8.0	trials	True	False	False	False	False	False	False	True
4799.9471	8.0	trials	True	False	False	False	False	False	False	True
4811.072	8.0	trials	True	False	False	False	False	False	False	True
4822.2477	8.0	trials	False	True	False	False	False	False	False	True
4833.4335	8.0	trials	False	True	False	False	False	False	False	True
4844.5854	8.0	trials	True	False	False	False	False	False	False	True
4855.8177	8.0	trials	True	False	False	False	False	False	False	True
4867.0405	8.0	trials	True	False	False	False	False	False	False	True
4878.2355	8.0	trials	False	True	False	False	False	False	False	True
4889.2744	8.0	trials	True	False	False	False	False	False	False	True
4900.4329	8.0	trials	False	True	False	False	False	False	False	True
4911.597	8.0	trials	False	True	False	False	False	False	False	True
4922.7614	8.0	trials	False	True	False	False	False	False	False	True
4933.7758	8.0	trials	True	False	False	False	False	False	False	True
4944.9455	8.0	trials	True	False	False	False	False	False	False	True
4956.1233	8.0	trials	False	True	False	False	False	False	False	True
4967.1899	8.0	trials	True	False	False	False	False	False	False	True
4978.3403	8.0	trials	False	True	False	False	False	False	False	True
4989.4111	8.0	trials	True	False	False	False	False	False	False	True
5000.6201	8.0	trials	True	False	False	False	False	False	False	True
5011.9742	8.0	trials	False	True	False	False	False	False	False	True
5023.1478	8.0	trials	True	False	False	False	False	False	False	True
