onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
1861.6182	8.0	trials	False	True	False	False	False	False	False	True
1871.5632	8.0	trials	False	True	False	False	False	False	False	True
1884.3257	8.0	trials	False	False	True	False	False	False	False	True
1896.3773	8.0	trials	False	True	False	False	False	False	True	True
1907.3895	8.0	trials	False	False	True	False	False	False	False	True
1919.3019	8.0	trials	False	True	False	False	False	False	False	True
1929.5364	8.0	trials	True	False	False	False	False	False	False	True
1939.4997	8.0	trials	False	True	False	False	False	False	True	True
1950.7695	8.0	trials	True	False	False	False	False	False	False	True
1960.7334	8.0	trials	True	False	False	False	False	False	False	True
1970.6918	8.0	trials	True	False	False	False	False	False	False	True
1980.7568	8.0	trials	False	True	False	False	False	False	False	True
1990.7182	8.0	trials	False	False	False	True	False	False	False	True
2002.6471	8.0	trials	False	True	False	False	False	False	False	True
2012.601	8.0	trials	False	False	True	False	False	False	False	True
2024.6278	8.0	trials	True	False	False	False	False	False	False	True
2034.5999	8.0	trials	False	True	False	False	False	False	False	True
2044.552	7.999999999999773	trials	False	False	True	False	False	False	False	True
2056.4564	8.0	trials	True	False	False	False	False	False	False	True
2066.422	8.0	trials	False	True	False	False	False	False	False	True
2076.4993	8.0	trials	False	True	False	False	False	False	False	True
2086.5592	8.0	trials	True	False	False	False	False	False	False	True
2096.5077	8.0	trials	True	False	False	False	False	False	False	True
2106.4429	8.0	trials	False	True	False	False	False	False	False	True
2116.4029	8.0	trials	True	False	False	False	False	False	False	True
2128.2854	8.0	trials	True	False	False	False	False	False	False	True
2138.2351	8.0	trials	True	False	False	False	False	False	False	True
2148.7535	8.0	trials	False	True	False	False	False	False	False	True
2158.8473	8.0	trials	True	False	False	False	False	False	False	True
2170.8343	8.0	trials	True	False	False	False	False	False	True	True
2181.6172	8.0	trials	True	False	False	False	False	False	False	True
2191.6106	8.0	trials	False	True	False	False	False	False	False	True
2201.675	8.0	trials	True	False	False	False	False	False	False	True
2212.193	8.0	trials	True	False	False	False	False	False	False	True
2222.7703	8.0	trials	True	False	False	False	False	False	False	True
2232.7646	8.0	trials	False	True	False	False	False	False	False	True
2242.703	8.0	trials	False	True	False	False	False	False	False	True
2252.795	8.0	trials	False	True	False	False	False	False	False	True
2263.1677	8.0	trials	True	False	False	False	False	False	False	True
2273.9627	8.0	trials	True	False	False	False	False	False	True	True
2287.3228	8.0	trials	False	True	False	False	False	False	False	True
2297.2762	8.0	trials	False	True	False	False	False	False	False	True
2307.2191	8.0	trials	False	True	False	False	False	False	False	True
2317.2061	8.0	trials	False	False	True	False	False	False	True	True
2329.6689	8.0	trials	False	False	True	False	False	False	True	True
2342.5741	8.0	trials	False	False	True	False	False	False	False	True
2354.5482	8.0	trials	False	False	True	False	False	False	False	True
2366.4807	8.0	trials	False	False	True	False	False	False	False	True
2381.3989	8.0	trials	True	False	False	False	False	False	True	True
2397.036	8.0	trials	False	False	True	False	False	False	False	True
2408.9539	8.0	trials	True	False	False	False	False	False	False	True
2422.1496	8.0	trials	False	True	False	False	False	False	False	True
2432.1235	8.0	trials	False	False	True	False	False	False	False	True
2444.065	8.0	trials	True	False	False	False	False	False	False	True
2454.0596	8.0	trials	False	False	True	False	False	False	False	True
2466.0008	8.0	trials	False	False	False	True	False	False	True	True
2478.2998	8.0	trials	False	False	True	False	False	False	False	True
2490.2904	8.0	trials	True	False	False	False	False	False	True	True
2500.7643	8.0	trials	False	False	True	False	False	False	False	True
2512.718	8.0	trials	False	False	True	False	False	False	False	True
2524.7102	8.0	trials	True	False	False	False	False	False	False	True
2534.7025	8.0	trials	False	False	True	False	False	False	True	True
2548.2385	8.0	trials	True	False	False	False	False	False	False	True
2558.3658	8.0	trials	False	True	False	False	False	False	False	True
2568.3375	8.0	trials	False	True	False	False	False	False	False	True
2578.4861	8.0	trials	False	True	False	False	False	False	False	True
2588.4805	8.0	trials	True	False	False	False	False	False	False	True
2599.9461	8.0	trials	True	False	False	False	False	False	False	True
2611.5001	8.0	trials	False	True	False	False	False	False	False	True
2621.6041	8.0	trials	False	False	False	True	False	False	False	True
2633.559	8.0	trials	False	True	False	False	False	False	False	True
2643.5975	8.0	trials	True	False	False	False	False	False	False	True
2653.6127	8.0	trials	True	False	False	False	False	False	False	True
2663.6108	8.0	trials	False	True	False	False	False	False	False	True
2673.6171	8.0	trials	True	False	False	False	False	False	False	True
2683.6297	8.0	trials	False	True	False	False	False	False	False	True
2693.7737	8.0	trials	True	False	False	False	False	False	False	True
2703.7934	8.0	trials	False	True	False	False	False	False	False	True
2713.9309	8.0	trials	True	False	False	False	False	False	False	True
2724.068	8.0	trials	False	False	True	False	False	False	False	True
2736.0284	8.0	trials	False	True	False	False	False	False	False	True
2746.1604	8.0	trials	False	True	False	False	False	False	False	True
2756.1995	8.0	trials	False	True	False	False	False	False	False	True
2766.2123	8.0	trials	False	False	True	False	False	False	True	True
2778.6222	8.0	trials	True	False	False	False	False	False	False	True
2788.621	8.0	trials	True	False	False	False	False	False	False	True
2798.7912	8.0	trials	False	True	False	False	False	False	False	True
2808.9165	8.0	trials	False	True	False	False	False	False	False	True
2818.9033	8.0	trials	False	False	True	False	False	False	False	True
2830.8908	8.0	trials	True	False	False	False	False	False	False	True
2840.9427	8.0	trials	False	True	False	False	False	False	False	True
2851.0537	8.0	trials	True	False	False	False	False	False	False	True
2861.0842	8.0	trials	True	False	False	False	False	False	False	True
2871.098	8.0	trials	False	False	True	False	False	False	False	True
2883.0816	8.0	trials	False	True	False	False	False	False	False	True
2893.2235	8.0	trials	True	False	False	False	False	False	True	True
2904.2167	8.0	trials	False	False	True	False	False	False	False	True
2916.2362	8.0	trials	True	False	False	False	False	False	False	True
2926.2828	8.0	trials	False	True	False	False	False	False	False	True
2936.4573	8.0	trials	True	False	False	False	False	False	False	True
2946.5367	8.0	trials	True	False	False	False	False	False	False	True
2956.5744	8.0	trials	True	False	False	False	False	False	False	True
2966.598	8.0	trials	False	False	False	True	False	False	False	True
2978.6138	8.0	trials	True	False	False	False	False	False	False	True
2988.6626	8.0	trials	False	True	False	False	False	False	False	True
2998.8009	8.0	trials	True	False	False	False	False	False	False	True
3008.9495	8.0	trials	True	False	False	False	False	False	False	True
3019.1597	8.0	trials	True	False	False	False	False	False	False	True
3029.3136	8.0	trials	False	False	False	True	False	False	False	True
3041.3013	8.0	trials	False	True	False	False	False	False	False	True
3051.4704	8.0	trials	True	False	False	False	False	False	False	True
3061.514	8.0	trials	True	False	False	False	False	False	False	True
3071.667	8.0	trials	False	True	False	False	False	False	False	True
3081.8512	8.0	trials	False	True	False	False	False	False	False	True
3091.898	8.0	trials	False	False	False	True	False	False	False	True
3104.0679	8.0	trials	True	False	False	False	False	False	False	True
3114.108	8.0	trials	False	True	False	False	False	False	False	True
3124.1389	8.0	trials	False	True	False	False	False	False	False	True
3134.2047	8.0	trials	False	True	False	False	False	False	False	True
3145.3384	8.0	trials	True	False	False	False	False	False	True	True
3156.6073	8.0	trials	False	True	False	False	False	False	False	True
3167.332	8.0	trials	False	False	False	True	False	False	False	True
3179.4024	8.0	trials	False	True	False	False	False	False	False	True
3189.4445	8.0	trials	True	False	False	False	False	False	False	True
3199.5342	8.0	trials	False	False	False	False	False	True	False	True
3210.5331	8.0	trials	False	True	False	False	False	False	False	True
3220.5937	8.0	trials	False	True	False	False	False	False	False	True
3230.9004	8.0	trials	True	False	False	False	False	False	False	True
3242.6232	8.0	trials	False	True	False	False	False	False	False	True
3252.7176	8.0	trials	False	True	False	False	False	False	False	True
3262.8982	8.0	trials	False	True	False	False	False	False	False	True
3273.0448	8.0	trials	False	False	True	False	False	False	False	True
3285.175	8.0	trials	True	False	False	False	False	False	False	True
3295.2557	8.0	trials	True	False	False	False	False	False	False	True
3305.4091	8.0	trials	False	False	False	True	False	False	False	True
3317.5961	8.0	trials	False	False	False	True	False	False	False	True
3329.6408	8.0	trials	False	True	False	False	False	False	False	True
3339.7146	8.0	trials	False	True	False	False	False	False	False	True
3349.7606	8.0	trials	False	False	True	False	False	False	True	True
3370.3993	8.0	trials	False	True	False	False	False	False	False	True
3380.4755	8.0	trials	False	False	True	False	False	False	False	True
3392.4925	8.0	trials	True	False	False	False	False	False	False	True
