onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
1215.0841	8.0	trials	False	False	True	False	False	False	True	True
1228.2596	8.0	trials	False	True	False	False	False	False	False	True
1238.2117	8.0	trials	False	False	True	False	False	False	False	True
1250.2544	8.0	trials	False	False	False	True	False	False	False	True
1262.2788	8.0	trials	True	False	False	False	False	False	False	True
1272.6233	8.0	trials	False	True	False	False	False	False	False	True
1282.5787	8.0	trials	False	True	False	False	False	False	True	True
1294.5283	8.0	trials	True	False	False	False	False	False	False	True
1304.5243	8.0	trials	True	False	False	False	False	False	False	True
1314.4581	8.0	trials	False	True	False	False	False	False	False	True
1324.5036	8.0	trials	True	False	False	False	False	False	False	True
1334.4448	8.0	trials	True	False	False	False	False	False	True	True
1345.6269	8.0	trials	False	True	False	False	False	False	False	True
1355.6468	8.0	trials	True	False	False	False	False	False	False	True
1365.7288	8.0	trials	False	False	True	False	False	False	False	True
1377.6188	8.0	trials	True	False	False	False	False	False	False	True
1387.63	8.0	trials	False	True	False	False	False	False	False	True
1397.5561	8.0	trials	True	False	False	False	False	False	False	True
1407.5745	8.0	trials	False	False	True	False	False	False	False	True
1419.5956	8.0	trials	False	True	False	False	False	False	False	True
1429.5198	8.0	trials	True	False	False	False	False	False	False	True
1439.528	8.0	trials	True	False	False	False	False	False	False	True
1449.5061	8.0	trials	False	True	False	False	False	False	False	True
1460.2042	8.0	trials	False	True	False	False	False	False	False	True
1470.1428	8.0	trials	False	True	False	False	False	False	False	True
1480.2265	8.0	trials	False	False	True	False	False	False	False	True
1492.2693	8.0	trials	False	True	False	False	False	False	False	True
1502.2288	8.0	trials	False	True	False	False	False	False	False	True
1512.1585	8.0	trials	True	False	False	False	False	False	False	True
1522.1184	8.0	trials	True	False	False	False	False	False	False	True
1532.2242	8.0	trials	True	False	False	False	False	False	False	True
1542.2604	8.0	trials	False	True	False	False	False	False	False	True
1552.2161	8.0	trials	False	True	False	False	False	False	False	True
