onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
1209.345	8.0	trials	False	False	True	False	False	False	True	True
1223.118	8.0	trials	False	True	False	False	False	False	False	True
1233.1452	8.0	trials	False	True	False	False	False	False	False	True
1243.6821	8.0	trials	False	True	False	False	False	False	True	True
1254.0133	8.0	trials	True	False	False	False	False	False	False	True
1264.0439	8.0	trials	True	False	False	False	False	False	False	True
1274.0943	8.0	trials	False	True	False	False	False	False	True	True
1285.3834	8.0	trials	False	True	False	False	False	False	False	True
1295.3353	8.0	trials	True	False	False	False	False	False	False	True
1305.2916	8.0	trials	True	False	False	False	False	False	False	True
1315.3051	8.0	trials	True	False	False	False	False	False	False	True
1325.3242	8.0	trials	False	True	False	False	False	False	False	True
1335.3337	8.0	trials	False	True	False	False	False	False	False	True
1345.2604	8.0	trials	False	True	False	False	False	False	True	True
1355.9669	8.0	trials	True	False	False	False	False	False	False	True
1365.9376	8.0	trials	True	False	False	False	False	False	False	True
1377.3588	8.0	trials	False	False	False	True	False	False	False	True
1389.2801	8.0	trials	False	True	False	False	False	False	False	True
1399.2566	8.0	trials	True	False	False	False	False	False	False	True
1409.2051	8.0	trials	False	True	False	False	False	False	False	True
1419.2922	8.0	trials	True	False	False	False	False	False	False	True
1429.2512	8.0	trials	False	True	False	False	False	False	False	True
1439.2873	8.0	trials	False	True	False	False	False	False	False	True
1449.233	8.0	trials	False	True	False	False	False	False	False	True
1459.3189	8.0	trials	True	False	False	False	False	False	False	True
1469.2918	8.0	trials	True	False	False	False	False	False	False	True
1479.2675	8.0	trials	True	False	False	False	False	False	False	True
1489.2451	8.0	trials	False	True	False	False	False	False	False	True
1499.2073	8.0	trials	False	True	False	False	False	False	False	True
1509.1645	8.0	trials	False	True	False	False	False	False	False	True
1519.1328	8.0	trials	True	False	False	False	False	False	True	True
1529.784	8.0	trials	False	True	False	False	False	False	False	True
1539.7488	8.0	trials	False	True	False	False	False	False	False	True
1549.7886	8.0	trials	False	True	False	False	False	False	False	True
1559.7357	8.0	trials	True	False	False	False	False	False	False	True
1569.861	8.0	trials	False	True	False	False	False	False	False	True
1579.8388	8.0	trials	False	True	False	False	False	False	False	True
1589.8798	8.0	trials	True	False	False	False	False	False	False	True
1600.0587	8.0	trials	True	False	False	False	False	False	False	True
1611.3877	8.0	trials	True	False	False	False	False	False	False	True
1622.1979	8.0	trials	False	True	False	False	False	False	False	True
1632.227	8.0	trials	False	True	False	False	False	False	False	True
1642.3372	8.0	trials	True	False	False	False	False	False	False	True
1652.3845	8.0	trials	False	True	False	False	False	False	False	True
1662.3327	8.0	trials	True	False	False	False	False	False	False	True
1672.3116	8.0	trials	False	False	False	True	False	False	False	True
1684.3501	8.0	trials	False	False	True	False	False	False	False	True
