onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
853.84	8.0	trials	False	False	True	False	False	False	True	True
870.7756	8.0	trials	True	False	False	False	False	False	False	True
880.7316	8.0	trials	False	True	False	False	False	False	False	True
890.7005	8.0	trials	False	False	True	False	False	False	False	True
902.7254	8.0	trials	False	False	True	False	False	False	False	True
914.5971	8.0	trials	False	True	False	False	False	False	False	True
924.5193	8.0	trials	False	True	False	False	False	False	False	True
934.4843	8.0	trials	False	True	False	False	False	False	False	True
945.5571	8.0	trials	True	False	False	False	False	False	False	True
955.5992	8.0	trials	False	True	False	False	False	False	False	True
965.6555	8.0	trials	True	False	False	False	False	False	False	True
975.5948	8.0	trials	True	False	False	False	False	False	False	True
985.5302	8.0	trials	False	True	False	False	False	False	True	True
997.2699	8.0	trials	True	False	False	False	False	False	False	True
1007.2341	8.0	trials	False	True	False	False	False	False	False	True
1017.159	8.000000000000114	trials	False	True	False	False	False	False	False	True
1027.173	8.0	trials	True	False	False	False	False	False	False	True
1037.3831	8.0	trials	False	True	False	False	False	False	True	True
1049.0079	8.0	trials	True	False	False	False	False	False	False	True
1058.9986	8.0	trials	True	False	False	False	False	False	True	True
1070.1679	8.0	trials	False	True	False	False	False	False	False	True
1080.1223	8.0	trials	True	False	False	False	False	False	False	True
1090.1058	8.0	trials	True	False	False	False	False	False	False	True
1100.1113	8.0	trials	False	True	False	False	False	False	False	True
1110.1728	8.0	trials	False	True	False	False	False	False	False	True
1120.1492	8.0	trials	False	True	False	False	False	False	False	True
1130.0684	8.0	trials	False	False	True	False	False	False	False	True
1141.9917	8.0	trials	False	True	False	False	False	False	False	True
1151.9711	8.0	trials	True	False	False	False	False	False	False	True
1161.9719	8.0	trials	True	False	False	False	False	False	False	True
1171.9883	8.0	trials	True	False	False	False	False	False	False	True
1181.9421	8.0	trials	False	True	False	False	False	False	False	True
1191.8966	8.0	trials	False	True	False	False	False	False	False	True
1201.8757	8.0	trials	False	False	True	False	False	False	False	True
1213.7937	8.0	trials	True	False	False	False	False	False	False	True
1223.8009	8.0	trials	True	False	False	False	False	False	False	True
1233.7989	8.0	trials	False	True	False	False	False	False	False	True
1243.8865	8.0	trials	False	False	True	False	False	False	False	True
1255.9496	8.0	trials	True	False	False	False	False	False	False	True
1265.937	8.0	trials	False	False	True	False	False	False	False	True
1278.0312	8.0	trials	False	True	False	False	False	False	False	True
1288.0138	8.0	trials	False	True	False	False	False	False	False	True
1298.1217	8.0	trials	True	False	False	False	False	False	False	True
1308.1649	8.0	trials	True	False	False	False	False	False	False	True
1318.2494	8.0	trials	True	False	False	False	False	False	False	True
1328.2433	8.0	trials	False	True	False	False	False	False	False	True
1338.3308	8.0	trials	True	False	False	False	False	False	False	True
1348.8712	8.0	trials	False	False	True	False	False	False	False	True
1360.8063	8.0	trials	True	False	False	False	False	False	True	True
1372.0545	8.0	trials	False	True	False	False	False	False	False	True
1382.0147	8.0	trials	False	True	False	False	False	False	False	True
1392.0043	8.0	trials	True	False	False	False	False	False	False	True
1402.0657	8.0	trials	False	True	False	False	False	False	False	True
1412.1179	8.0	trials	True	False	False	False	False	False	False	True
1422.1208	8.0	trials	False	True	False	False	False	False	False	True
1432.0956	8.0	trials	True	False	False	False	False	False	False	True
1442.1075	8.0	trials	False	True	False	False	False	False	False	True
1455.541	8.0	trials	True	False	False	False	False	False	False	True
1465.5269	8.0	trials	True	False	False	False	False	False	False	True
1475.5198	8.0	trials	False	False	True	False	False	False	False	True
1494.1612	8.0	trials	False	True	False	False	False	False	True	True
1506.5287	8.0	trials	False	True	False	False	False	False	False	True
1516.5341	8.0	trials	True	False	False	False	False	False	False	True
1526.6347	8.0	trials	False	True	False	False	False	False	False	True
1536.6527	8.0	trials	True	False	False	False	False	False	False	True
1546.664	8.0	trials	True	False	False	False	False	False	False	True
1556.714	8.0	trials	True	False	False	False	False	False	True	True
1567.6956	8.0	trials	False	True	False	False	False	False	False	True
1577.6835	8.0	trials	False	True	False	False	False	False	False	True
1587.832	8.0	trials	True	False	False	False	False	False	False	True
1597.9211	8.0	trials	True	False	False	False	False	False	False	True
1607.987	8.0	trials	True	False	False	False	False	False	False	True
1617.9768	8.0	trials	False	True	False	False	False	False	False	True
1628.0849	8.0	trials	True	False	False	False	False	False	False	True
1638.2529	8.0	trials	False	True	False	False	False	False	False	True
1648.2915	8.0	trials	False	True	False	False	False	False	False	True
1658.8786	8.0	trials	True	False	False	False	False	False	False	True
1668.9252	8.0	trials	False	True	False	False	False	False	False	True
1679.0673	8.0	trials	True	False	False	False	False	False	False	True
1689.0876	8.0	trials	True	False	False	False	False	False	False	True
1699.1864	8.0	trials	False	True	False	False	False	False	False	True
1709.3266	8.0	trials	False	True	False	False	False	False	False	True
1719.3163	8.0	trials	True	False	False	False	False	False	False	True
1729.3563	8.0	trials	False	True	False	False	False	False	False	True
1739.4899	8.0	trials	False	True	False	False	False	False	False	True
1749.5255	8.0	trials	True	False	False	False	False	False	False	True
1759.652	8.0	trials	False	False	False	False	False	True	False	True
1770.6391	8.0	trials	False	False	True	False	False	False	False	True
1782.6746	8.0	trials	True	False	False	False	False	False	False	True
1792.7932	8.0	trials	True	False	False	False	False	False	False	True
1802.8874	8.0	trials	False	True	False	False	False	False	False	True
1812.9067	8.0	trials	False	True	False	False	False	False	False	True
1822.9146	8.0	trials	True	False	False	False	False	False	False	True
1833.0017	8.0	trials	False	False	True	False	False	False	False	True
1845.0122	8.0	trials	False	True	False	False	False	False	False	True
1855.1104	8.0	trials	True	False	False	False	False	False	False	True
1865.191	8.0	trials	False	True	False	False	False	False	False	True
1875.2011	8.0	trials	True	False	False	False	False	False	False	True
1885.2692	8.0	trials	True	False	False	False	False	False	False	True
1895.3669	8.0	trials	True	False	False	False	False	False	False	True
1905.4457	8.0	trials	False	True	False	False	False	False	False	True
1915.4558	8.0	trials	True	False	False	False	False	False	False	True
1925.6021	8.0	trials	False	True	False	False	False	False	False	True
1935.7408	8.0	trials	True	False	False	False	False	False	False	True
1945.9379	8.0	trials	False	False	True	False	False	False	True	True
