onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
1364.9359	8.0	trials	False	False	True	False	False	False	False	True
1378.0097	8.0	trials	True	False	False	False	False	False	False	True
1388.9616	8.0	trials	False	False	False	True	False	False	True	True
1403.1868	8.0	trials	True	False	False	False	False	False	False	True
1414.1845	8.0	trials	False	False	False	True	False	False	False	True
1427.2359	8.0	trials	True	False	False	False	False	False	False	True
1438.3384	8.0	trials	False	True	False	False	False	False	False	True
1449.3767	8.0	trials	True	False	False	False	False	False	False	True
1460.4626	8.0	trials	True	False	False	False	False	False	False	True
1472.2333	8.0	trials	False	True	False	False	False	False	False	True
1483.1705	8.0	trials	False	True	False	False	False	False	False	True
1494.1219	8.0	trials	False	False	True	False	False	False	False	True
1507.1496	8.0	trials	True	False	False	False	False	False	False	True
1518.2316	8.0	trials	False	False	False	True	False	False	False	True
1531.4418	8.0	trials	False	False	True	False	False	False	False	True
1544.4636	8.0	trials	True	False	False	False	False	False	False	True
1555.5516	8.0	trials	False	True	False	False	False	False	True	True
1570.0013	8.0	trials	False	True	False	False	False	False	False	True
1580.9241	8.0	trials	False	True	False	False	False	False	False	True
1591.8606	8.0	trials	True	False	False	False	False	False	False	True
1602.9232	8.0	trials	False	True	False	False	False	False	False	True
1613.8818	8.0	trials	True	False	False	False	False	False	False	True
1625.0078	8.0	trials	False	True	False	False	False	False	False	True
1635.9905	8.0	trials	False	True	False	False	False	False	False	True
1647.1169	8.0	trials	False	True	False	False	False	False	False	True
1658.3685	8.0	trials	False	False	True	False	False	False	False	True
1671.4224	8.0	trials	True	False	False	False	False	False	False	True
1682.5378	8.0	trials	False	True	False	False	False	False	False	True
1693.5014	8.0	trials	True	False	False	False	False	False	False	True
1704.7788	8.0	trials	False	True	False	False	False	False	False	True
1716.0915	8.0	trials	False	False	False	True	False	False	False	True
1729.1921	8.0	trials	False	False	True	False	False	False	False	True
1742.1348	8.0	trials	True	False	False	False	False	False	False	True
1753.4012	8.0	trials	False	True	False	False	False	False	False	True
1764.3842	8.0	trials	True	False	False	False	False	False	False	True
1775.5103	8.0	trials	True	False	False	False	False	False	False	True
1786.6562	8.0	trials	False	True	False	False	False	False	False	True
1797.6163	8.0	trials	True	False	False	False	False	False	False	True
1808.5634	8.0	trials	False	True	False	False	False	False	False	True
1819.7081	8.0	trials	False	True	False	False	False	False	False	True
1830.6792	8.0	trials	False	True	False	False	False	False	False	True
1841.7023	8.0	trials	True	False	False	False	False	False	False	True
1852.8484	8.0	trials	True	False	False	False	False	False	False	True
1864.096	8.0	trials	False	False	True	False	False	False	False	True
1877.177	8.0	trials	False	True	False	False	False	False	False	True
1888.2296	8.0	trials	True	False	False	False	False	False	False	True
1899.6914	8.0	trials	True	False	False	False	False	False	False	True
1910.8739	8.0	trials	True	False	False	False	False	False	False	True
1922.2788	8.0	trials	False	True	False	False	False	False	False	True
1933.2835	8.0	trials	False	True	False	False	False	False	True	True
1945.6117	8.0	trials	True	False	False	False	False	False	False	True
1956.7741	8.0	trials	False	False	False	True	False	False	False	True
1969.8779	8.0	trials	True	False	False	False	False	False	False	True
1981.0379	8.0	trials	False	True	False	False	False	False	False	True
1992.1239	8.0	trials	True	False	False	False	False	False	False	True
2003.2631	8.0	trials	False	True	False	False	False	False	False	True
2014.2309	8.0	trials	False	True	False	False	False	False	False	True
2025.2214	8.0	trials	True	False	False	False	False	False	False	True
2036.3578	8.0	trials	True	False	False	False	False	False	False	True
2047.4757	8.0	trials	False	False	False	False	False	True	False	True
2059.4259	8.0	trials	False	True	False	False	False	False	False	True
2070.5803	8.0	trials	False	True	False	False	False	False	False	True
2081.5712	8.0	trials	True	False	False	False	False	False	False	True
2092.74	8.0	trials	True	False	False	False	False	False	False	True
2103.9211	8.0	trials	False	True	False	False	False	False	False	True
2114.9229	8.0	trials	False	True	False	False	False	False	False	True
2125.9321	8.0	trials	False	True	False	False	False	False	False	True
2136.9429	8.0	trials	True	False	False	False	False	False	False	True
2148.0799	8.0	trials	False	True	False	False	False	False	False	True
2159.0729	8.0	trials	False	True	False	False	False	False	False	True
2170.2225	8.0	trials	False	False	False	True	False	False	False	True
2183.3922	8.0	trials	True	False	False	False	False	False	False	True
2194.5169	8.0	trials	False	True	False	False	False	False	False	True
2205.666	8.0	trials	False	True	False	False	False	False	False	True
2216.822	8.0	trials	False	True	False	False	False	False	False	True
2227.9844	8.0	trials	True	False	False	False	False	False	False	True
2239.1596	8.0	trials	False	True	False	False	False	False	False	True
2250.1759	8.0	trials	False	True	False	False	False	False	False	True
2261.3691	8.0	trials	True	False	False	False	False	False	False	True
2272.4894	8.0	trials	False	True	False	False	False	False	False	True
2283.5202	8.0	trials	True	False	False	False	False	False	False	True
2294.6669	8.0	trials	False	False	False	True	False	False	False	True
2307.7819	8.0	trials	False	True	False	False	False	False	False	True
2318.9951	8.0	trials	True	False	False	False	False	False	False	True
2330.1341	8.0	trials	False	True	False	False	False	False	False	True
2341.3244	8.0	trials	False	True	False	False	False	False	False	True
2352.4978	8.0	trials	True	False	False	False	False	False	False	True
2363.6074	8.0	trials	True	False	False	False	False	False	False	True
2374.7911	8.0	trials	False	True	False	False	False	False	False	True
2385.9484	8.0	trials	True	False	False	False	False	False	False	True
2397.1321	8.0	trials	False	True	False	False	False	False	False	True
2408.1635	8.0	trials	True	False	False	False	False	False	False	True
2419.1919	8.0	trials	False	True	False	False	False	False	False	True
2430.3695	8.0	trials	False	False	False	True	False	False	False	True
2443.4784	8.0	trials	False	True	False	False	False	False	False	True
2454.4932	8.0	trials	False	False	True	False	False	False	False	True
2467.5198	8.0	trials	True	False	False	False	False	False	False	True
2478.6369	8.0	trials	False	True	False	False	False	False	False	True
2489.8378	8.0	trials	False	True	False	False	False	False	False	True
2501.0043	8.0	trials	False	True	False	False	False	False	False	True
2512.2113	8.0	trials	True	False	False	False	False	False	False	True
2523.3405	8.0	trials	False	True	False	False	False	False	False	True
2534.5264	8.0	trials	False	False	False	True	False	False	False	True
2547.6561	8.0	trials	True	False	False	False	False	False	False	True
2558.8298	8.0	trials	False	True	False	False	False	False	False	True
2570.007	8.0	trials	False	True	False	False	False	False	False	True
2581.0476	8.0	trials	False	True	False	False	False	False	False	True
2592.0618	8.0	trials	True	False	False	False	False	False	False	True
2603.3218	8.0	trials	True	False	False	False	False	False	False	True
2614.5417	8.0	trials	True	False	False	False	False	False	False	True
2625.7273	8.0	trials	False	True	False	False	False	False	False	True
2636.7908	8.0	trials	False	True	False	False	False	False	False	True
2647.9765	8.0	trials	True	False	False	False	False	False	False	True
2659.1288	8.0	trials	False	True	False	False	False	False	False	True
2670.3096	8.0	trials	True	False	False	False	False	False	False	True
