onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
942.2413	8.0	trials	True	False	False	False	False	False	False	True
952.2088	8.0	trials	False	True	False	False	False	False	False	True
962.1427	8.0	trials	True	False	False	False	False	False	False	True
973.3014	8.0	trials	False	True	False	False	False	False	False	True
983.2472	8.0	trials	False	True	False	False	False	False	True	True
994.2237	8.0	trials	False	True	False	False	False	False	False	True
1004.1303	8.0	trials	True	False	False	False	False	False	False	True
1014.1997	8.0	trials	False	True	False	False	False	False	False	True
1024.1567	8.0	trials	True	False	False	False	False	False	False	True
1034.2125	8.0	trials	True	False	False	False	False	False	False	True
1044.2988	8.0	trials	True	False	False	False	False	False	False	True
1054.3434	8.0	trials	False	True	False	False	False	False	False	True
1064.3667	8.0	trials	True	False	False	False	False	False	False	True
1075.7842	8.0	trials	True	False	False	False	False	False	False	True
1085.8849	8.0	trials	False	True	False	False	False	False	False	True
1095.821	8.0	trials	True	False	False	False	False	False	False	True
1105.9022	8.0	trials	False	True	False	False	False	False	False	True
1115.8423	8.0	trials	False	True	False	False	False	False	False	True
1125.7835	8.0	trials	False	False	True	False	False	False	False	True
1137.7998	8.0	trials	False	False	True	False	False	False	False	True
1149.73	8.0	trials	True	False	False	False	False	False	False	True
1159.7403	8.0	trials	False	False	True	False	False	False	False	True
1171.7059	8.0	trials	True	False	False	False	False	False	False	True
1181.6597	8.0	trials	False	True	False	False	False	False	False	True
1191.586	8.0	trials	False	True	False	False	False	False	False	True
1201.5098	8.0	trials	True	False	False	False	False	False	False	True
1211.5402	8.0	trials	True	False	False	False	False	False	False	True
1221.6574	8.0	trials	True	False	False	False	False	False	False	True
1231.7088	8.0	trials	False	True	False	False	False	False	False	True
1241.6678	8.0	trials	True	False	False	False	False	False	False	True
1252.3322	8.0	trials	False	False	True	False	False	False	False	True
1264.2446	8.0	trials	False	True	False	False	False	False	False	True
1274.2063	8.0	trials	True	False	False	False	False	False	False	True
1284.2773	8.0	trials	False	True	False	False	False	False	False	True
1294.3496	8.0	trials	True	False	False	False	False	False	False	True
1304.4626	8.0	trials	True	False	False	False	False	False	False	True
1314.5341	8.0	trials	True	False	False	False	False	False	False	True
1324.7021	8.0	trials	False	False	False	True	False	False	False	True
