onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
3188.9088	8.0	trials	False	True	False	False	False	False	False	True
3200.6299	8.0	trials	False	False	True	False	False	False	False	True
3213.5412	8.0	trials	False	True	False	False	False	False	False	True
3224.4607	8.0	trials	False	True	False	False	False	False	False	True
3236.2818	8.0	trials	False	True	False	False	False	False	False	True
3247.6279	8.0	trials	True	False	False	False	False	False	False	True
3258.6854	8.0	trials	False	False	True	False	False	False	False	True
3271.567	8.0	trials	False	False	True	False	False	False	False	True
3284.4469	8.0	trials	False	True	False	False	False	False	False	True
3296.806	8.0	trials	False	False	True	False	False	False	False	True
3309.8332	8.0	trials	False	False	False	True	False	False	False	True
3323.1565	8.0	trials	True	False	False	False	False	False	False	True
3334.5023	8.0	trials	False	True	False	False	False	False	False	True
3346.9412	8.0	trials	True	False	False	False	False	False	False	True
3357.878	8.0	trials	False	False	True	False	False	False	False	True
3370.9113	8.0	trials	False	False	True	False	False	False	True	True
3384.2423	8.0	trials	False	True	False	False	False	False	True	True
3395.3787	8.0	trials	True	False	False	False	False	False	False	True
3406.4361	8.0	trials	False	True	False	False	False	False	False	True
3419.2292	8.0	trials	False	False	False	True	False	False	False	True
3432.2684	8.0	trials	False	False	True	False	False	False	False	True
3445.1667	8.0	trials	False	False	True	False	False	False	False	True
3458.2103	8.0	trials	True	False	False	False	False	False	False	True
3470.2991	8.0	trials	True	False	False	False	False	False	False	True
3481.2448	8.0	trials	False	True	False	False	False	False	False	True
3492.3295	8.0	trials	True	False	False	False	False	False	False	True
3503.4511	8.0	trials	True	False	False	False	False	False	False	True
3514.5059	8.0	trials	True	False	False	False	False	False	False	True
3526.2662	8.0	trials	False	False	False	True	False	False	True	True
3541.4453	8.0	trials	False	False	True	False	False	False	False	True
3554.5248	8.0	trials	True	False	False	False	False	False	False	True
3565.5199	8.0	trials	False	True	False	False	False	False	False	True
3577.7337	8.0	trials	False	False	False	True	False	False	False	True
3590.6793	8.0	trials	False	True	False	False	False	False	False	True
3602.1494	8.0	trials	True	False	False	False	False	False	False	True
3613.9124	8.0	trials	False	True	False	False	False	False	False	True
3624.9917	8.0	trials	False	True	False	False	False	False	False	True
3636.4255	8.0	trials	False	True	False	False	False	False	False	True
3649.3216	8.0	trials	True	False	False	False	False	False	False	True
3661.1644	8.0	trials	True	False	False	False	False	False	False	True
3672.1798	8.0	trials	True	False	False	False	False	False	False	True
3683.7773	8.0	trials	False	True	False	False	False	False	False	True
3696.8002	8.0	trials	True	False	False	False	False	False	False	True
3708.7281	8.0	trials	False	True	False	False	False	False	False	True
3720.7127	8.0	trials	True	False	False	False	False	False	False	True
3733.4587	8.0	trials	False	True	False	False	False	False	False	True
3746.3102	8.0	trials	False	True	False	False	False	False	False	True
3757.8042	8.0	trials	False	False	False	True	False	False	False	True
3770.8676	8.0	trials	True	False	False	False	False	False	False	True
3781.9843	8.0	trials	True	False	False	False	False	False	False	True
3793.0601	8.0	trials	False	False	True	False	False	False	False	True
3806.152	8.0	trials	False	False	False	True	False	False	False	True
3820.8863	8.0	trials	False	True	False	False	False	False	False	True
3832.4209	8.0	trials	False	True	False	False	False	False	False	True
3843.3723	8.0	trials	True	False	False	False	False	False	False	True
3854.4221	8.0	trials	False	True	False	False	False	False	False	True
3865.5339	8.0	trials	True	False	False	False	False	False	False	True
3876.612	8.0	trials	False	True	False	False	False	False	False	True
3889.5447	8.0	trials	False	True	False	False	False	False	False	True
3900.6412	8.0	trials	False	False	False	True	False	False	False	True
3913.6738	8.0	trials	False	False	True	False	False	False	False	True
3926.6396	8.0	trials	False	True	False	False	False	False	False	True
3937.7307	8.0	trials	True	False	False	False	False	False	False	True
3949.5207	8.0	trials	False	True	False	False	False	False	False	True
3960.4991	8.0	trials	False	False	False	True	False	False	False	True
3973.57	8.0	trials	False	True	False	False	False	False	False	True
3988.234	8.0	trials	True	False	False	False	False	False	False	True
3999.2754	8.0	trials	True	False	False	False	False	False	False	True
4010.3704	8.0	trials	True	False	False	False	False	False	False	True
4021.4492	8.0	trials	False	True	False	False	False	False	False	True
4034.4601	8.0	trials	True	False	False	False	False	False	False	True
4045.4483	8.0	trials	False	True	False	False	False	False	False	True
4056.5416	8.0	trials	True	False	False	False	False	False	False	True
4067.5461	8.0	trials	False	True	False	False	False	False	False	True
4078.6454	8.0	trials	False	True	False	False	False	False	False	True
