onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
2384.0148	8.0	trials	False	True	False	False	False	False	True	True
2397.6244	8.0	trials	True	False	False	False	False	False	False	True
2417.6469	8.0	trials	False	True	False	False	False	False	False	True
2428.5967	8.0	trials	False	True	False	False	False	False	False	True
2439.6107	8.0	trials	False	False	True	False	False	False	False	True
2452.6208	8.0	trials	False	True	False	False	False	False	False	True
2463.672	8.0	trials	False	True	False	False	False	False	False	True
2474.5929	8.0	trials	False	True	False	False	False	False	True	True
2486.7828	8.0	trials	True	False	False	False	False	False	False	True
2497.8617	8.0	trials	False	True	False	False	False	False	False	True
2508.8776	8.0	trials	False	True	False	False	False	False	False	True
2519.9049	8.0	trials	False	True	False	False	False	False	False	True
2530.9419	8.0	trials	True	False	False	False	False	False	False	True
2541.8658	8.0	trials	False	True	False	False	False	False	False	True
2552.8785	8.0	trials	False	True	False	False	False	False	False	True
2563.8893	8.0	trials	True	False	False	False	False	False	False	True
2574.8302	8.0	trials	True	False	False	False	False	False	False	True
2585.8508	8.0	trials	False	False	True	False	False	False	False	True
2598.8085	8.0	trials	False	True	False	False	False	False	False	True
2609.7517	8.0	trials	False	True	False	False	False	False	False	True
2620.7617	8.0	trials	False	True	False	False	False	False	False	True
2631.6894	8.0	trials	True	False	False	False	False	False	False	True
2642.7095	8.0	trials	False	True	False	False	False	False	False	True
2653.6416	8.0	trials	False	False	True	False	False	False	False	True
2666.575	8.0	trials	False	True	False	False	False	False	False	True
2677.5984	8.0	trials	False	False	True	False	False	False	False	True
2690.6042	8.0	trials	True	False	False	False	False	False	False	True
2701.6046	8.0	trials	False	False	True	False	False	False	False	True
2714.5273	8.0	trials	True	False	False	False	False	False	False	True
2725.4851	8.0	trials	False	True	False	False	False	False	False	True
2736.4155	8.0	trials	True	False	False	False	False	False	False	True
2747.404	8.0	trials	True	False	False	False	False	False	False	True
2758.4694	8.0	trials	False	False	True	False	False	False	False	True
2771.4005	8.0	trials	False	True	False	False	False	False	False	True
2782.4615	8.0	trials	True	False	False	False	False	False	False	True
2793.4448	8.0	trials	False	True	False	False	False	False	False	True
2804.4172	8.0	trials	True	False	False	False	False	False	False	True
2815.3627	8.0	trials	False	True	False	False	False	False	False	True
2826.3491	8.0	trials	True	False	False	False	False	False	False	True
2837.3475	8.0	trials	True	False	False	False	False	False	False	True
2848.3375	8.0	trials	False	True	False	False	False	False	False	True
2859.2764	8.0	trials	True	False	False	False	False	False	False	True
2870.34	8.0	trials	True	False	False	False	False	False	False	True
2881.3321	8.0	trials	False	True	False	False	False	False	False	True
2892.3322	8.0	trials	True	False	False	False	False	False	False	True
2903.3354	8.0	trials	False	True	False	False	False	False	False	True
2914.2901	8.0	trials	True	False	False	False	False	False	False	True
2925.2715	8.0	trials	False	True	False	False	False	False	False	True
2936.3443	8.0	trials	False	True	False	False	False	False	False	True
2947.3932	8.0	trials	True	False	False	False	False	False	False	True
2958.3368	8.0	trials	True	False	False	False	False	False	False	True
2969.3324	8.0	trials	True	False	False	False	False	False	False	True
2980.3875	8.0	trials	False	True	False	False	False	False	False	True
2991.3672	8.0	trials	False	True	False	False	False	False	False	True
3002.3522	8.0	trials	True	False	False	False	False	False	False	True
3013.3627	8.0	trials	False	True	False	False	False	False	False	True
3024.3377	8.0	trials	False	True	False	False	False	False	False	True
3035.4262	8.0	trials	True	False	False	False	False	False	False	True
3046.4323	8.0	trials	False	True	False	False	False	False	False	True
3057.4904	8.0	trials	True	False	False	False	False	False	False	True
3068.5017	8.0	trials	True	False	False	False	False	False	False	True
3079.5179	8.0	trials	False	True	False	False	False	False	False	True
3090.6186	8.0	trials	False	True	False	False	False	False	False	True
3101.5947	8.0	trials	True	False	False	False	False	False	False	True
3112.8022	8.0	trials	False	True	False	False	False	False	True	True
3123.9312	8.0	trials	False	True	False	False	False	False	False	True
3135.0125	8.0	trials	False	True	False	False	False	False	False	True
3145.9978	8.0	trials	True	False	False	False	False	False	False	True
3157.0556	8.0	trials	False	True	False	False	False	False	False	True
3168.1309	8.0	trials	False	False	True	False	False	False	True	True
3181.5309	8.0	trials	False	True	False	False	False	False	False	True
3192.6245	8.0	trials	True	False	False	False	False	False	False	True
3203.6465	8.0	trials	True	False	False	False	False	False	False	True
3214.6957	8.0	trials	True	False	False	False	False	False	False	True
3225.6908	8.0	trials	False	True	False	False	False	False	False	True
3236.6878	8.0	trials	True	False	False	False	False	False	False	True
3247.8215	8.0	trials	True	False	False	False	False	False	False	True
3258.8663	8.0	trials	False	False	True	False	False	False	False	True
3271.8531	8.0	trials	False	True	False	False	False	False	False	True
3282.8881	8.0	trials	False	True	False	False	False	False	False	True
3293.9645	8.0	trials	True	False	False	False	False	False	False	True
3305.0012	8.0	trials	True	False	False	False	False	False	False	True
3316.0452	8.0	trials	True	False	False	False	False	False	False	True
