onset	duration	nwb_table	HitR	HitL	ErrR	ErrL	NoLickR	NoLickL	LickEarly	StimTrials
763.709	8.0	trials	True	False	False	False	False	False	True	True
786.336	8.0	trials	False	False	False	True	False	False	False	True
798.3324	8.0	trials	True	False	False	False	False	False	False	True
808.2602	8.0	trials	True	False	False	False	False	False	False	True
818.2178	8.0	trials	True	False	False	False	False	False	False	True
828.2842	8.0	trials	False	True	False	False	False	False	False	True
838.3195	8.0	trials	False	True	False	False	False	False	False	True
848.3314	8.0	trials	False	True	False	False	False	False	False	True
858.348	8.0	trials	True	False	False	False	False	False	False	True
868.4224	8.0	trials	True	False	False	False	False	False	False	True
878.4003	8.0	trials	True	False	False	False	False	False	False	True
890.1398	8.0	trials	False	True	False	False	False	False	True	True
901.798	8.0	trials	True	False	False	False	False	False	False	True
911.7595	8.0	trials	False	True	False	False	False	False	False	True
921.8314	8.0	trials	False	True	False	False	False	False	False	True
931.7981	8.0	trials	False	False	True	False	False	False	False	True
943.7581	8.0	trials	False	True	False	False	False	False	False	True
953.7818	8.0	trials	True	False	False	False	False	False	True	True
965.3259	8.0	trials	False	True	False	False	False	False	False	True
975.4276	8.0	trials	False	True	False	False	False	False	False	True
985.491	8.0	trials	False	True	False	False	False	False	True	True
996.8532	8.0	trials	True	False	False	False	False	False	False	True
1006.9392	8.0	trials	False	True	False	False	False	False	False	True
1018.2445	8.0	trials	False	True	False	False	False	False	False	True
1028.3183	8.0	trials	True	False	False	False	False	False	False	True
1038.2733	8.0	trials	False	True	False	False	False	False	False	True
1048.2704	8.0	trials	True	False	False	False	False	False	False	True
1058.261	8.0	trials	True	False	False	False	False	False	True	True
1068.8033	8.0	trials	True	False	False	False	False	False	False	True
1078.9019	8.0	trials	False	True	False	False	False	False	False	True
1089.0766	8.0	trials	True	False	False	False	False	False	False	True
1099.0815	8.0	trials	True	False	False	False	False	False	False	True
1109.0561	8.0	trials	False	False	True	False	False	False	False	True
1121.0932	8.0	trials	False	True	False	False	False	False	False	True
1131.238	8.0	trials	True	False	False	False	False	False	False	True
1141.1942	8.0	trials	True	False	False	False	False	False	False	True
1151.2124	8.0	trials	True	False	False	False	False	False	False	True
1161.191	8.0	trials	False	True	False	False	False	False	False	True
1171.2455	8.0	trials	False	True	False	False	False	False	False	True
1181.3229	8.0	trials	True	False	False	False	False	False	False	True
1191.3279	8.0	trials	False	True	False	False	False	False	False	True
1201.4233	8.0	trials	True	False	False	False	False	False	False	True
1211.4653	8.0	trials	False	True	False	False	False	False	False	True
1221.5586	8.0	trials	True	False	False	False	False	False	False	True
1231.5139	8.0	trials	False	True	False	False	False	False	False	True
1241.6728	8.0	trials	False	True	False	False	False	False	False	True
1251.743	8.0	trials	False	True	False	False	False	False	False	True
1261.8492	8.0	trials	True	False	False	False	False	False	False	True
1271.8631	8.0	trials	True	False	False	False	False	False	False	True
1281.8726	8.0	trials	False	True	False	False	False	False	False	True
1291.9287	8.0	trials	True	False	False	False	False	False	False	True
1301.9445	8.0	trials	False	False	True	False	False	False	False	True
1314.0537	8.0	trials	True	False	False	False	False	False	False	True
1324.0361	8.0	trials	False	True	False	False	False	False	False	True
1334.099	8.0	trials	True	False	False	False	False	False	False	True
1344.0784	8.0	trials	True	False	False	False	False	False	False	True
1354.112	8.0	trials	True	False	False	False	False	False	False	True
1364.1091	8.0	trials	False	True	False	False	False	False	False	True
1374.2768	8.0	trials	True	False	False	False	False	False	False	True
1384.3983	8.0	trials	False	True	False	False	False	False	False	True
1394.4962	8.0	trials	False	False	False	False	True	False	False	True
1405.4505	8.0	trials	True	False	False	False	False	False	False	True
1415.4925	8.0	trials	True	False	False	False	False	False	False	True
1425.5144	8.0	trials	False	True	False	False	False	False	False	True
1435.6479	8.0	trials	True	False	False	False	False	False	False	True
1445.6654	8.0	trials	True	False	False	False	False	False	False	True
1455.7481	8.0	trials	True	False	False	False	False	False	False	True
1465.8198	8.0	trials	False	True	False	False	False	False	False	True
1475.9801	8.0	trials	True	False	False	False	False	False	False	True
1486.1286	8.0	trials	True	False	False	False	False	False	False	True
1496.1834	8.0	trials	True	False	False	False	False	False	False	True
1506.2063	8.0	trials	False	True	False	False	False	False	False	True
1516.4376	8.0	trials	True	False	False	False	False	False	False	True
1526.4482	8.0	trials	False	True	False	False	False	False	False	True
1536.6051	8.0	trials	False	True	False	False	False	False	False	True
1546.6805	8.0	trials	False	True	False	False	False	False	False	True
1556.8068	8.0	trials	True	False	False	False	False	False	False	True
1566.7999	8.0	trials	True	False	False	False	False	False	False	True
1576.8624	8.0	trials	False	True	False	False	False	False	False	True
1586.9693	8.0	trials	False	True	False	False	False	False	False	True
1597.1056	8.0	trials	False	True	False	False	False	False	False	True
1607.1733	8.0	trials	True	False	False	False	False	False	False	True
1617.1847	8.0	trials	False	True	False	False	False	False	False	True
1627.3617	8.0	trials	False	True	False	False	False	False	False	True
1637.4905	8.0	trials	True	False	False	False	False	False	False	True
1647.5129	8.0	trials	False	True	False	False	False	False	False	True
1657.6201	8.0	trials	True	False	False	False	False	False	False	True
1667.691	8.0	trials	True	False	False	False	False	False	False	True
1677.7378	8.0	trials	True	False	False	False	False	False	False	True
1687.7632	8.0	trials	False	True	False	False	False	False	False	True
1697.9588	8.0	trials	False	True	False	False	False	False	False	True
1708.1444	8.0	trials	True	False	False	False	False	False	False	True
1718.2023	8.0	trials	False	False	True	False	False	False	False	True
1730.3215	8.0	trials	False	True	False	False	False	False	False	True
1740.4742	8.0	trials	True	False	False	False	False	False	False	True
1750.5096	8.0	trials	False	True	False	False	False	False	False	True
1760.7291	8.0	trials	True	False	False	False	False	False	False	True
1770.8292	8.0	trials	True	False	False	False	False	False	False	True
1780.858	8.0	trials	True	False	False	False	False	False	False	True
1790.9437	8.0	trials	False	True	False	False	False	False	False	True
1801.109	8.0	trials	True	False	False	False	False	False	False	True
1811.1638	8.0	trials	True	False	False	False	False	False	False	True
1821.1841	8.0	trials	True	False	False	False	False	False	False	True
1831.2104	8.0	trials	False	True	False	False	False	False	False	True
1841.4291	8.0	trials	True	False	False	False	False	False	False	True
1851.4623	8.0	trials	False	True	False	False	False	False	False	True
1861.5997	8.0	trials	False	True	False	False	False	False	False	True
1871.8426	8.0	trials	True	False	False	False	False	False	False	True
1881.9185	8.0	trials	True	False	False	False	False	False	False	True
1892.0908	8.0	trials	False	True	False	False	False	False	False	True
1902.3536	8.0	trials	True	False	False	False	False	False	False	True
1912.4093	8.0	trials	True	False	False	False	False	False	False	True
1922.4942	8.0	trials	False	True	False	False	False	False	False	True
1932.6412	8.0	trials	True	False	False	False	False	False	False	True
1942.7179	8.0	trials	True	False	False	False	False	False	False	True
1952.7647	8.0	trials	False	True	False	False	False	False	False	True
1962.8384	8.0	trials	False	True	False	False	False	False	False	True
1973.0367	8.0	trials	False	True	False	False	False	False	False	True
1983.2596	8.0	trials	True	False	False	False	False	False	False	True
1993.2876	8.0	trials	True	False	False	False	False	False	False	True
2003.3391	8.0	trials	False	True	False	False	False	False	False	True
2013.4596	8.0	trials	False	True	False	False	False	False	False	True
2023.7225	8.0	trials	True	False	False	False	False	False	False	True
